naam,officiële website,land van nationaliteit,IMDb-identificatiecode,geboortedatum,aantal volgers op sociale media,voornaam,beroep,geboorteplaats,sekse of geslacht,GTAA-identificatiecode,Instagram-gebruikersnaam,Twitter-gebruikersnaam,werkperiode (begin),afbeelding,familienaam,ČSFD-identificatiecode voor persoon,Freebase-identificatiecode,is een,kind,Commonscategorie,geboortenaam,werken in collectie,auteursrechtenstatus van maker,overlijdensplaats,overlijdensdatum,naam in moedertaal,Stadsarchief Rotterdam-identificatiecode voor persoon of organisatie,MusicBrainz-identificatiecode voor artiest,Acharts.co-identificatiecode voor artiest,VIAF-identificatiecode,Europeana Entity-identificatiecode,WorldCat Identities-identificatiecode,instrument,PORT-identificatiecode voor persoon,ISNI-identificatiecode,Kinopoisk-identificatiecode voor persoon,AlloCiné-identificatiecode voor persoon,NTA-identificatiecode,Muziekweb-identificatiecode voor uitvoerend artiest,platenlabel,MovieMeter-identificatiecode voor regisseur,AllMovie-identificatiecode voor artiest,wijze van overlijden,doodsoorzaak,Filmweb.pl-identificatiecode voor persoon,huwelijkspartner,GND-identificatiecode,Cultureel Woordenboek-identificatiecode,LCAuth-identificatiecode,deelgenomen aan,Discogs-identificatiecode voor artiest,genre,Nederlandse Top 40-identificatiecode voor artiest,AllMusic-identificatiecode voor artiest,ontvangen prijs,aantal kinderen,pseudoniem,Kunstenpunt-identificatiecode voor persoon,vader,Songkick-identificatiecode voor artiest,video,NKC-identificatiecode,CONOR.SI-identificatiecode,SFDb-identificatiecode voor persoon,Elonet-identificatiecode voor acteur,Scope.dk-identificatiecode voor persoon,Filmportal-identificatiecode,Deutsche Biographie-identificatiecode,Deutsche Synchronkartei-identificatiecode voor acteur,SUDOC-identificatiecode,lid van,BnF-identificatiecode,DNF-identificatiecode voor persoon,Google Knowledge Graph-identificatiecode,beschreven op URL,INDUCKS-identificatiecode voor maker,DBNL-identificatiecode voor auteur,RKDartists-identificatiecode,Jeugdliteratuur-identificatiecode,taalbeheersing,beschreven door bron,moedertaal,onderhouden door wikiproject,stem,elFilm-identificatiecode voor persoon,lesarchivesduspectacle-identificatiecode,KMDb-identificatiecode voor persoon,elCinema-identificatiecode voor persoon,OMDB-identificatiecode voor persoon,EDb-identificatiecode voor persoon,sport,BNE-identificatiecode,Genius-identificatiecode voor artiest (numeriek),Genius-identificatiecode voor artiest,Quora-identificatiecode voor onderwerp,TMDb-identificatiecode voor persoon,Cinemagia-identificatiecode voor acteur,Biografisch Portaal-identificatiecode,Biografisch Woordenboek van Nederland: 1880-2000-identificatiecode,op focuslijst van Wikimedia-project,relevant werk,NUKAT-identificatiecode,schrijftaal,FAST-identificatiecode,BIBSYS-identificatiecode,opleiding gevolgd aan,Find a Grave-identificatiecode voor graf,DVN-identificatiecode,student van,broer of zus,floruit,Lambiek Comiclopedia-identificatiecode voor kunstenaar,onderdeel van,Norwegian Nationaltheatret-identificatiecode voor acteur,werkveld,gesproken tekst,KRNLK-identificatiecode,BNB-identificatiecode voor persoon,NDL-identificatiecode,Babelio-identificatiecode voor auteur,lid van sportteam of club,transfermarkt-identificatiecode voor voetballer,sportnationaliteit,positie van speler / specialiteit,Eu-football.info-identificatiecode voor speler,National-Football-Teams.com-identificatiecode voor speler,ambt,werkgever,moeder,Artnet-identificatiecode voor kunstenaar,Artsy-identificatiecode voor artiest,Munzinger Pop-identificatiecode,DACS-identificatiecode,PictoRight-identificatiecode voor kunstenaar,SNAC-identificatiecode,Invaluable.com-identificatiecode voor kunstenaar,auteursrechtvertegenwoordiger,Rock's Backpages-identificatiecode voor artiest,Christie's-identificatiecode voor kunstenaar,werklocatie,MutualArt-identificatiecode voor kunstenaar,foto van graf,Commonscreatorpagina,WikiTree-identificatiecode,ArtBrokerage-identificatiecode voor artiest,Geni.com-identificatiecode,hoofdcategorie van onderwerp,Billboard-identificatiecode voor artiest,Benezit-identificatiecode,partner,verkorte naam,NLP-identificatiecode (record)
Luc_Boyer,,Koninkrijk der Nederlanden,,1935-01-01T00:00:00Z,,,acteur;regisseur;pantomimespeler;docent,Jakarta,mannelijk,,,,,,,,,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marian_Boyer,,Koninkrijk der Nederlanden,nm0102071,1954-02-27T00:00:00Z,,Marian,schrijver;acteur,Amsterdam,vrouwelijk,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Marian%20Boyer.png,Boyer,423657,,mens,,,,,oeuvre auteursrechtelijk beschermd,Amsterdam,2013-07-16T00:00:00Z,,,,,41199103,,lccn-n2002037503,,,0000 0000 7886 3181,,,148737129,,,,,,,,,138339813,,n2002037503,,,,,,Mr. H.G. van der Vies-prijs,,,,,,,,,,,,,,,,,,,,,,boye003,,,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartho_Braat,,Koninkrijk der Nederlanden,nm0102597,1950-08-17T00:00:00Z,,,televisieacteur;filmacteur,Leiden,mannelijk,85424,,,1984-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Bartho%20Braat.png,Braat,414052,/m/0bh3073,mens,,Bartho Braat,,,,,,,,,,,,,,,,403015,,,,,,,,,,,,,,,,,,,,,,,Wouter Braat,,,,,,,,,,,,,,,,,,braa058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansje_van_Brandenberg,,Koninkrijk der Nederlanden,nm0104584,1933-02-28T00:00:00Z,,Ans-Marie,acteur;televisiepresentator;cabaretier,Amsterdam,vrouwelijk,85568,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ansje%20van%20Brandenberg%20%281964%29.jpg,,432802,,mens,,Ansje van Brandenberg,Ans-Marie Pont,Stadsarchief Rotterdam,,,,,142878824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron_Brandsteder,,Koninkrijk der Nederlanden,nm0104841,1950-05-19T00:00:00Z,,Ron,schrijver;acteur;zanger;televisiepresentator;presentator;cabaretier,,mannelijk,85613,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ron%20Brandsteder%20cropped.jpg,,,,mens,,Ron Brandsteder,,,,,,,,d98d9efa-92c6-44a5-ba14-21d7c31cb92c,,291676436,,,stem,,,,,071047069,,,,,,,,,,,,,492550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nederlands,,,,,,,,,,,,,,,,,,,,,showbizzquiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsie_de_Brauw,,Koninkrijk der Nederlanden,nm0105984,1960-07-30T00:00:00Z,,Elsie,acteur;uitvoerend kunstenaar;filmacteur,Den Haag,vrouwelijk,85712,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Oberender%2C%20Elsie%20de%20Brauw.JPG,,224283,/m/0gby20r,mens,,Elsie de Brauw,,,,,,,,,,,,,,110246,,100619,,,,,,p382827,,,,,,,,,,,,,Gouden Kalf voor beste actrice;Theo d'Or,,,1892093,,,,,,,,,,,,,,,,,,,brau032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans_Breetveld,,,,,,Hans,,,,,,,,,,,,mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tooske_Ragas,,Koninkrijk der Nederlanden,nm1193942,1974-06-03T00:00:00Z,,,acteur;zanger;televisiepresentator;presentator;filmacteur,Zwolle,vrouwelijk,144430;85939,,,1998-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Tooske%20Ragas%20stichting%20DON.jpg,,412539,/m/03h2gs2,mens,,Tooske Ragas,Antonia Grietje Breugem,,,,,Tooske Ragas,,dfff967e-09e6-45a4-ab32-c6a21ac962c9,t_breugem,305831847,,viaf-305831847,stem,,0000 0004 2327 5816,,,369279735,,,,,,,,Bastiaan Ragas,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,Nederlands,,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTL Television,,,,,,,,,,,,,,,,,,,,,,,,
Ellis_van_den_Brink,,Koninkrijk der Nederlanden,nm0109548,1947-03-17T00:00:00Z,,Ellis,televisieacteur;toneelacteur;filmacteur;hoorspelacteur,Amsterdam,vrouwelijk,86077,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ellis%20van%20den%20Brink.png,Van den Brink,428047,,mens,,,,,,,,,,,,,,,,,,300359,,,,,,,,,,,,,,,,,,,,,,,Wim van den Brink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nell Koppen,,,,,,,,,,,,,,,,,,,,,,,
Robert_ten_Brink,,Koninkrijk der Nederlanden,nm0109568,1955-10-20T00:00:00Z,,Robert,acteur;televisiepresentator;nieuwslezer;presentator,Amsterdam,mannelijk,86110,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20ten%20Brink.png,,428924,/m/03ybp70,mens,,Robert ten Brink,,,,,,,,,,,,,,,,1416735,,,,,,,,,,,,,,,,,,,Zilveren Televizier-Ster (presentator),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
